,precision,recall,f1-score,support
0,0.13411078717201166,0.3484848484848485,0.19368421052631582,132.0
1,0.1978021978021978,0.2482758620689655,0.2201834862385321,145.0
2,0.2366412213740458,0.1987179487179487,0.21602787456445993,156.0
3,0.18181818181818182,0.09523809523809523,0.125,147.0
4,0.16666666666666666,0.006622516556291391,0.012738853503184714,151.0
5,0.14285714285714285,0.006711409395973154,0.012820512820512822,149.0
6,0.2077922077922078,0.0963855421686747,0.1316872427983539,166.0
7,0.15833333333333333,0.12751677852348994,0.1412639405204461,149.0
8,0.19875776397515527,0.2,0.19937694704049846,160.0
9,0.20959595959595959,0.5724137931034483,0.3068391866913124,145.0
accuracy,,,,0.186
macro avg,0.18343754623869024,0.19003667942577354,0.1559622254703616,1500.0
weighted avg,0.18450497089309412,0.186,0.15513499736943145,1500.0
